"Taxon","State"
"Helvellosebacina_helvelloides","Present"
"Helvellosebacina_concrescens","Present"
"Sebacina_ocreatum","Present"
"Tremellodendron_ocreatum","Present"
"Sebacina_incrustans","Present"
"Sebacina_cystidiata","Present"
"Sebacina_candida","Present"
"Sebacina_dimitica","Present"
"Sebacina_epigaea","Present"
"Sebacina_pallida","Present"
"Sebacina_flagelliformis","Present"
"Sebacina_epigea","Present"
"Tremelloscypha_dichroum","Present"
"Tremelloscypha_gelatinosa","Present"
"Globulisebacina_rolleyi","Absent"
"Chaetospermum_camelliae","Absent"
"Chaetospermum_artocarpi","Absent"
"Craterocolla_cerasi","Absent"
"Paulisebacina_allantoidea","Absent"
"Piriformospora_wiliamsii","Absent"
"Piriformospora_indica","Absent"
"Serendipita_vermifera","Absent"
"Serendipita_herbamans","Absent"
"Tremellodendron_schweinitzii","Present"
"Marasmius_bulliardii","Absent"
"Marasmius_capillaris","Absent"
"Marasmius_rotula","Absent"
"Marasmius_graminum","Absent"
"Marasmius_nodulocystis","Absent"
"Marasmius_griseoroseus","Absent"
"Marasmius_linderioides","Absent"
"Marasmius_mbalmayoensis","Absent"
"Marasmius_occultatiformis","Absent"
"Marasmius_ochroleucus","Absent"
"Marasmius_delectans","Absent"
"Marasmius_oreades","Absent"
"Marasmius_siccus","Absent"
"Marasmius_megistus","Absent"
"Marasmius_haematocephalus","Absent"
"Marasmius_conchiformis","Absent"
"Amyloflagellula_inflata","Absent"
"Marasmius_longisetosus","Absent"
"Marasmius_fulvoferrugineus","Absent"
"Marasmius_plicatulus","Absent"
"Chaetocalathus_liliputianus","Absent"
"Crinipellis_zonata","Absent"
"Crinipellis_maxima","Absent"
"Crinipellis_campanella","Absent"
"Crinipellis_setipes","Absent"
"Marasmiellus_palmivorus","Absent"
"Moniliophthora_roreri","Absent"
"Moniliophthora_perniciosa","Absent"
"Anthracophyllum_lateritium","Absent"
"Anthracophyllum_archeri","Absent"
"Neonothopanus_gardneri","Absent"
"Nothopanus_eugrammus","Absent"
"Neonothopanus_nambi","Absent"
"Lampteromyces_japonicus","Absent"
"Omphalotus_illudens","Absent"
"Omphalotus_olivascens","Absent"
"Mycetinis_opacus","Absent"
"Mycetinis_scorodonius","Absent"
"Mycetinis_copelandii","Absent"
"Mycetinis_applanatipes","Absent"
"Mycetinis_alliaceus","Absent"
"Gymnopus_perforans","Absent"
"Gymnopus_polyphyllus","Absent"
"Gymnopus_hariolorum","Absent"
"Gymnopus_iocephalus","Absent"
"Gymnopus_vitellinipes","Absent"
"Gymnopus_bicolor","Absent"
"Gymnopus_sepiiconicus","Absent"
"Gymnopus_aurantipes","Absent"
"Gymnopus_indoctoides","Absent"
"Gymnopus_dryophilus","Absent"
"Gymnopus_erythropus","Absent"
