"","Taxon","State"
"Acarospora_austroshetlandica","Acarospora_austroshetlandica","Absent"
"Acarospora_badiofusca","Acarospora_badiofusca","Absent"
"Acarospora_bullata","Acarospora_bullata","Absent"
"Acarospora_canadensis","Acarospora_canadensis","Absent"
"Acarospora_cervina","Acarospora_cervina","Absent"
"Acarospora_clauzadeana","Acarospora_clauzadeana","Absent"
"Acarospora_complanata","Acarospora_complanata","Absent"
"Acarospora_fulvoviridula","Acarospora_fulvoviridula","Absent"
"Acarospora_fuscata","Acarospora_fuscata","Absent"
"Acarospora_hilaris","Acarospora_hilaris","Absent"
"Acarospora_laqueata","Acarospora_laqueata","Absent"
"Acarospora_moenium","Acarospora_moenium","Absent"
"Acarospora_molybdina","Acarospora_molybdina","Absent"
"Acarospora_nitrophila","Acarospora_nitrophila","Absent"
"Acarospora_peliscypha","Acarospora_peliscypha","Absent"
"Acarospora_rosulata","Acarospora_rosulata","Absent"
"Acarospora_rugulosa","Acarospora_rugulosa","Absent"
"Acarospora_scabrida","Acarospora_scabrida","Absent"
"Acarospora_schleicheri","Acarospora_schleicheri","Absent"
"Acarospora_sinopica","Acarospora_sinopica","Absent"
"Acarospora_smaragdula","Acarospora_smaragdula","Absent"
"Acarospora_socialis","Acarospora_socialis","Absent"
"Acarospora_strigata","Acarospora_strigata","Absent"
"Acarospora_thamnina","Acarospora_thamnina","Absent"
"Glypholecia_scabra","Glypholecia_scabra","Absent"
"Pleopsidium_chlorophanum","Pleopsidium_chlorophanum","Absent"
"Pleopsidium_discurrens","Pleopsidium_discurrens","Absent"
"Pleopsidium_flavum","Pleopsidium_flavum","Absent"
"Pleopsidium_gobiense","Pleopsidium_gobiense","Absent"
"Polysporina_frigida","Polysporina_frigida","Absent"
"Polysporina_simplex","Polysporina_simplex","Absent"
"Sarcogyne_privigna","Sarcogyne_privigna","Absent"
"Sarcogyne_regularis","Sarcogyne_regularis","Absent"
"Timdalia_intricata","Timdalia_intricata","Absent"
"Fuscidea_cyathoides","Fuscidea_cyathoides","Absent"
"Fuscidea_intercincta","Fuscidea_intercincta","Absent"
"Fuscidea_lightfootii","Fuscidea_lightfootii","Absent"
"Fuscidea_lygaea","Fuscidea_lygaea","Absent"
"Fuscidea_mollis","Fuscidea_mollis","Absent"
"Fuscidea_pusilla","Fuscidea_pusilla","Absent"
"Fuscidea_recensa","Fuscidea_recensa","Absent"
"Maronea_chilensis","Maronea_chilensis","Absent"
"Maronea_constans","Maronea_constans","Absent"
"Bryobilimbia_australis","Bryobilimbia_australis","Absent"
"Bryobilimbia_diapensiae","Bryobilimbia_diapensiae","Absent"
"Bryobilimbia_hypnorum","Bryobilimbia_hypnorum","Absent"
"Bryobilimbia_sanguineoatra","Bryobilimbia_sanguineoatra","Absent"
"Acroscyphus_sphaerophoroides","Acroscyphus_sphaerophoroides","Absent"
"Amandinea_efflorescens","Amandinea_efflorescens","Absent"
"Amandinea_lignicola","Amandinea_lignicola","Absent"
"Amandinea_petermannii","Amandinea_petermannii","Absent"
"Amandinea_punctata","Amandinea_punctata","Absent"
"Australiaena_streimannii","Australiaena_streimannii","Absent"
"Buellia_aethalea","Buellia_aethalea","Absent"
"Buellia_anisomera","Buellia_anisomera","Absent"
"Buellia_capitis_regum","Buellia_capitis_regum","Absent"
"Buellia_centralis","Buellia_centralis","Absent"
"Buellia_dialyta","Buellia_dialyta","Absent"
"Buellia_dijiana","Buellia_dijiana","Absent"
"Buellia_disciformis","Buellia_disciformis","Absent"
"Buellia_dispersa","Buellia_dispersa","Absent"
"Buellia_elegans","Buellia_elegans","Absent"
"Buellia_epigaea","Buellia_epigaea","Absent"
"Buellia_erubescens","Buellia_erubescens","Absent"
"Buellia_fimbriata","Buellia_fimbriata","Absent"
"Buellia_frigida","Buellia_frigida","Absent"
"Buellia_geophila","Buellia_geophila","Absent"
"Buellia_georgei","Buellia_georgei","Absent"
"Buellia_griseovirens","Buellia_griseovirens","Absent"
"Buellia_insignis","Buellia_insignis","Absent"
"Buellia_muriformis","Buellia_muriformis","Absent"
"Buellia_ocellata","Buellia_ocellata","Absent"
"Buellia_papillata","Buellia_papillata","Absent"
"Buellia_penichra","Buellia_penichra","Absent"
"Buellia_russa","Buellia_russa","Absent"
"Buellia_schaereri","Buellia_schaereri","Absent"
"Buellia_stillingiana","Buellia_stillingiana","Absent"
"Buellia_subdisciformis","Buellia_subdisciformis","Absent"
"Buellia_submuriformis","Buellia_submuriformis","Absent"
"Buellia_triphragmoides","Buellia_triphragmoides","Absent"
"Buellia_triseptata","Buellia_triseptata","Absent"
"Buellia_zoharyi","Buellia_zoharyi","Absent"
"Calicium_abietinum","Calicium_abietinum","Absent"
"Calicium_adaequatum","Calicium_adaequatum","Absent"
"Calicium_adspersum","Calicium_adspersum","Absent"
"Calicium_chlorosporum","Calicium_chlorosporum","Absent"
"Calicium_denigratum","Calicium_denigratum","Absent"
"Calicium_glaucellum","Calicium_glaucellum","Absent"
"Calicium_hyperelloides","Calicium_hyperelloides","Absent"
"Calicium_montanum","Calicium_montanum","Absent"
"Calicium_pinastri","Calicium_pinastri","Absent"
"Calicium_quercinum","Calicium_quercinum","Absent"
"Calicium_robustellum","Calicium_robustellum","Absent"
"Calicium_salicinum","Calicium_salicinum","Absent"
"Calicium_sequoiae","Calicium_sequoiae","Absent"
"Calicium_trabinellum","Calicium_trabinellum","Absent"
"Calicium_tricolor","Calicium_tricolor","Absent"
"Calicium_victorianum","Calicium_victorianum","Absent"
"Calicium_viride","Calicium_viride","Absent"
"Cyphelium_inquinans","Cyphelium_inquinans","Absent"
"Cyphelium_karelicum","Cyphelium_karelicum","Absent"
"Cyphelium_lucidum","Cyphelium_lucidum","Absent"
"Cyphelium_notarisii","Cyphelium_notarisii","Absent"
"Cyphelium_tigillare","Cyphelium_tigillare","Absent"
"Dermatiscum_thunbergii","Dermatiscum_thunbergii","Absent"
"Dimelaena_oreina","Dimelaena_oreina","Absent"
"Dimelaena_radiata","Dimelaena_radiata","Absent"
"Diploicia_canescens","Diploicia_canescens","Absent"
