"","Time","ChangeNo","Kind","ChangeRate"
"1",404.804808,0,"Tree 8",0
"2",400,0,"Tree 8",0
"3",400,0,"Tree 8",0
"4",390,0,"Tree 8",0
"5",390,0,"Tree 8",0
"6",380,0,"Tree 8",0
"7",380,0.001,"Tree 8",3.33333333333333e-05
"8",370,0.001,"Tree 8",3.33333333333333e-05
"9",370,0.001,"Tree 8",3.33333333333333e-05
"10",360,0.001,"Tree 8",3.33333333333333e-05
"11",360,0,"Tree 8",0
"12",350,0,"Tree 8",0
"13",350,0,"Tree 8",0
"14",340,0,"Tree 8",0
"15",340,0,"Tree 8",0
"16",330,0,"Tree 8",0
"17",330,0,"Tree 8",0
"18",320,0,"Tree 8",0
"19",320,0.002,"Tree 8",4e-05
"20",310,0.002,"Tree 8",4e-05
"21",310,0.001,"Tree 8",2e-05
"22",300,0.001,"Tree 8",2e-05
"23",300,0.001,"Tree 8",2e-05
"24",290,0.001,"Tree 8",2e-05
"25",290,0.001,"Tree 8",1.78936042711318e-05
"26",280,0.001,"Tree 8",1.78936042711318e-05
"27",280,0.001,"Tree 8",1.66666666666667e-05
"28",270,0.001,"Tree 8",1.66666666666667e-05
"29",270,0.001,"Tree 8",1.66666666666667e-05
"30",260,0.001,"Tree 8",1.66666666666667e-05
"31",260,0.002,"Tree 8",3.09335789706972e-05
"32",250,0.002,"Tree 8",3.09335789706972e-05
"33",250,0,"Tree 8",0
"34",240,0,"Tree 8",0
"35",240,0.001,"Tree 8",1.42857142857143e-05
"36",230,0.001,"Tree 8",1.42857142857143e-05
"37",230,0,"Tree 8",0
"38",220,0,"Tree 8",0
"39",220,0,"Tree 8",0
"40",210,0,"Tree 8",0
"41",210,0,"Tree 8",0
"42",200,0,"Tree 8",0
"43",200,0.001,"Tree 8",1.09180322613878e-05
"44",190,0.001,"Tree 8",1.09180322613878e-05
"45",190,0.001,"Tree 8",9.38556841400328e-06
"46",180,0.001,"Tree 8",9.38556841400328e-06
"47",180,0.001,"Tree 8",6.73271273835512e-06
"48",170,0.001,"Tree 8",6.73271273835512e-06
"49",170,0.001,"Tree 8",4.96126268421845e-06
"50",160,0.001,"Tree 8",4.96126268421845e-06
"51",160,0.005,"Tree 8",1.90090167674279e-05
"52",150,0.005,"Tree 8",1.90090167674279e-05
"53",150,0.039,"Tree 8",0.000110424269324521
"54",140,0.039,"Tree 8",0.000110424269324521
"55",140,2.21199999999987,"Tree 8",0.00423403965020001
"56",130,2.21199999999987,"Tree 8",0.00423403965020001
"57",130,0.871000000000001,"Tree 8",0.00115614842846968
"58",120,0.871000000000001,"Tree 8",0.00115614842846968
"59",120,0.599,"Tree 8",0.000548392959608506
"60",110,0.599,"Tree 8",0.000548392959608506
"61",110,1.84799999999991,"Tree 8",0.00115246905406679
"62",100,1.84799999999991,"Tree 8",0.00115246905406679
"63",100,3.7549999999997,"Tree 8",0.00158809046275512
"64",90,3.7549999999997,"Tree 8",0.00158809046275512
"65",90,6.10200000000037,"Tree 8",0.00171085523924902
"66",80,6.10200000000037,"Tree 8",0.00171085523924902
"67",80,5.67600000000023,"Tree 8",0.00104107189462192
"68",70,5.67600000000023,"Tree 8",0.00104107189462192
"69",70,2.49999999999984,"Tree 8",0.000303143908102197
"70",60,2.49999999999984,"Tree 8",0.000303143908102197
"71",60,2.26299999999986,"Tree 8",0.000183780453822686
"72",50,2.26299999999986,"Tree 8",0.000183780453822686
"73",50,3.28499999999975,"Tree 8",0.00018193147359533
"74",40,3.28499999999975,"Tree 8",0.00018193147359533
"75",40,2.97199999999978,"Tree 8",0.000116961119913199
"76",30,2.97199999999978,"Tree 8",0.000116961119913199
"77",30,2.69699999999981,"Tree 8",8.221732320995e-05
"78",20,2.69699999999981,"Tree 8",8.221732320995e-05
"79",20,2.70399999999981,"Tree 8",7.32109111680382e-05
"80",10,2.70399999999981,"Tree 8",7.32109111680382e-05
"81",10,2.75799999999981,"Tree 8",7.30007177155505e-05
"82",0,2.75799999999981,"Tree 8",7.30007177155505e-05
"83",467.867872,0,"Tree 12",0
"84",460,0,"Tree 12",0
"85",460,0,"Tree 12",0
"86",450,0,"Tree 12",0
"87",450,0,"Tree 12",0
"88",440,0,"Tree 12",0
"89",440,0,"Tree 12",0
"90",430,0,"Tree 12",0
"91",430,0,"Tree 12",0
"92",420,0,"Tree 12",0
"93",420,0,"Tree 12",0
"94",410,0,"Tree 12",0
"95",410,0,"Tree 12",0
"96",400,0,"Tree 12",0
"97",400,0,"Tree 12",0
"98",390,0,"Tree 12",0
"99",390,0.001,"Tree 12",3.33333333333333e-05
"100",380,0.001,"Tree 12",3.33333333333333e-05
"101",380,0,"Tree 12",0
"102",370,0,"Tree 12",0
"103",370,0,"Tree 12",0
"104",360,0,"Tree 12",0
"105",360,0.001,"Tree 12",3.01630399783646e-05
"106",350,0.001,"Tree 12",3.01630399783646e-05
"107",350,0.003,"Tree 12",7.5e-05
"108",340,0.003,"Tree 12",7.5e-05
"109",340,0.001,"Tree 12",2.18647386048635e-05
"110",330,0.001,"Tree 12",2.18647386048635e-05
"111",330,0,"Tree 12",0
"112",320,0,"Tree 12",0
"113",320,0.004,"Tree 12",8e-05
"114",310,0.004,"Tree 12",8e-05
"115",310,0.003,"Tree 12",5.82507237749513e-05
"116",300,0.003,"Tree 12",5.82507237749513e-05
"117",300,0.001,"Tree 12",1.66666666666667e-05
"118",290,0.001,"Tree 12",1.66666666666667e-05
"119",290,0,"Tree 12",0
"120",280,0,"Tree 12",0
"121",280,0.001,"Tree 12",1.66666666666667e-05
"122",270,0.001,"Tree 12",1.66666666666667e-05
"123",270,0,"Tree 12",0
"124",260,0,"Tree 12",0
"125",260,0,"Tree 12",0
"126",250,0,"Tree 12",0
"127",250,0,"Tree 12",0
"128",240,0,"Tree 12",0
"129",240,0.001,"Tree 12",1.1867425852798e-05
"130",230,0.001,"Tree 12",1.1867425852798e-05
"131",230,0.001,"Tree 12",1e-05
"132",220,0.001,"Tree 12",1e-05
"133",220,0.001,"Tree 12",1e-05
"134",210,0.001,"Tree 12",1e-05
"135",210,0,"Tree 12",0
"136",200,0,"Tree 12",0
"137",200,0.001,"Tree 12",9.14081770629041e-06
"138",190,0.001,"Tree 12",9.14081770629041e-06
"139",190,0.001,"Tree 12",8.68318071022374e-06
"140",180,0.001,"Tree 12",8.68318071022374e-06
"141",180,0,"Tree 12",0
"142",170,0,"Tree 12",0
"143",170,0.003,"Tree 12",1.70042537217621e-05
"144",160,0.003,"Tree 12",1.70042537217621e-05
"145",160,0.008,"Tree 12",3.36363596535129e-05
"146",150,0.008,"Tree 12",3.36363596535129e-05
"147",150,0.01,"Tree 12",3.09364515230538e-05
"148",140,0.01,"Tree 12",3.09364515230538e-05
"149",140,0.034,"Tree 12",7.23265505295703e-05
"150",130,0.034,"Tree 12",7.23265505295703e-05
"151",130,1.64699999999993,"Tree 12",0.00247072228964893
"152",120,1.64699999999993,"Tree 12",0.00247072228964893
"153",120,1.50999999999994,"Tree 12",0.00156620442352382
"154",110,1.50999999999994,"Tree 12",0.00156620442352382
"155",110,0.930000000000001,"Tree 12",0.000683355676982062
"156",100,0.930000000000001,"Tree 12",0.000683355676982062
"157",100,3.10699999999977,"Tree 12",0.00154480154075302
"158",90,3.10699999999977,"Tree 12",0.00154480154075302
"159",90,8.30400000000084,"Tree 12",0.00268060483563823
"160",80,8.30400000000084,"Tree 12",0.00268060483563823
"161",80,4.16899999999973,"Tree 12",0.000884033114883793
"162",70,4.16899999999973,"Tree 12",0.000884033114883793
"163",70,2.11999999999988,"Tree 12",0.000292341087673312
"164",60,2.11999999999988,"Tree 12",0.000292341087673312
"165",60,2.75899999999981,"Tree 12",0.000247331328359846
"166",50,2.75899999999981,"Tree 12",0.000247331328359846
"167",50,3.14499999999976,"Tree 12",0.000188189990799896
"168",40,3.14499999999976,"Tree 12",0.000188189990799896
"169",40,2.7869999999998,"Tree 12",0.00011526897581002
"170",30,2.7869999999998,"Tree 12",0.00011526897581002
"171",30,2.8449999999998,"Tree 12",8.8236436823739e-05
"172",20,2.8449999999998,"Tree 12",8.8236436823739e-05
"173",20,2.8009999999998,"Tree 12",7.59636195538699e-05
"174",10,2.8009999999998,"Tree 12",7.59636195538699e-05
"175",10,2.74599999999981,"Tree 12",7.2690315378798e-05
"176",0,2.74599999999981,"Tree 12",7.2690315378798e-05
"177",472.072077,0.001,"Tree 16",0.000241303773942753
"178",470,0.001,"Tree 16",0.000241303773942753
"179",470,0,"Tree 16",0
"180",460,0,"Tree 16",0
"181",460,0,"Tree 16",0
"182",450,0,"Tree 16",0
"183",450,0,"Tree 16",0
"184",440,0,"Tree 16",0
"185",440,0,"Tree 16",0
"186",430,0,"Tree 16",0
"187",430,0.001,"Tree 16",3.54255259264721e-05
"188",420,0.001,"Tree 16",3.54255259264721e-05
"189",420,0,"Tree 16",0
"190",410,0,"Tree 16",0
"191",410,0,"Tree 16",0
"192",400,0,"Tree 16",0
"193",400,0.002,"Tree 16",6.66666666666667e-05
"194",390,0.002,"Tree 16",6.66666666666667e-05
"195",390,0.001,"Tree 16",3.33333333333333e-05
"196",380,0.001,"Tree 16",3.33333333333333e-05
"197",380,0.001,"Tree 16",3.33333333333333e-05
"198",370,0.001,"Tree 16",3.33333333333333e-05
"199",370,0,"Tree 16",0
"200",360,0,"Tree 16",0
"201",360,0.001,"Tree 16",3.33333333333333e-05
"202",350,0.001,"Tree 16",3.33333333333333e-05
"203",350,0.001,"Tree 16",3.33333333333333e-05
"204",340,0.001,"Tree 16",3.33333333333333e-05
"205",340,0,"Tree 16",0
"206",330,0,"Tree 16",0
"207",330,0,"Tree 16",0
"208",320,0,"Tree 16",0
"209",320,0,"Tree 16",0
"210",310,0,"Tree 16",0
"211",310,0,"Tree 16",0
"212",300,0,"Tree 16",0
"213",300,0,"Tree 16",0
"214",290,0,"Tree 16",0
"215",290,0,"Tree 16",0
"216",280,0,"Tree 16",0
"217",280,0.001,"Tree 16",2.54587125366134e-05
"218",270,0.001,"Tree 16",2.54587125366134e-05
"219",270,0,"Tree 16",0
"220",260,0,"Tree 16",0
"221",260,0,"Tree 16",0
"222",250,0,"Tree 16",0
"223",250,0.002,"Tree 16",4e-05
"224",240,0.002,"Tree 16",4e-05
"225",240,0.001,"Tree 16",1.97508879752347e-05
"226",230,0.001,"Tree 16",1.97508879752347e-05
"227",230,0.002,"Tree 16",3.27755884139933e-05
"228",220,0.002,"Tree 16",3.27755884139933e-05
"229",220,0.001,"Tree 16",1.42857142857143e-05
"230",210,0.001,"Tree 16",1.42857142857143e-05
"231",210,0.001,"Tree 16",1.35862904981506e-05
"232",200,0.001,"Tree 16",1.35862904981506e-05
"233",200,0,"Tree 16",0
"234",190,0,"Tree 16",0
"235",190,0,"Tree 16",0
"236",180,0,"Tree 16",0
"237",180,0,"Tree 16",0
"238",170,0,"Tree 16",0
"239",170,0,"Tree 16",0
"240",160,0,"Tree 16",0
"241",160,0.001,"Tree 16",6.97966728693804e-06
"242",150,0.001,"Tree 16",6.97966728693804e-06
"243",150,0,"Tree 16",0
"244",140,0,"Tree 16",0
"245",140,0.019,"Tree 16",6.35687598115033e-05
"246",130,0.019,"Tree 16",6.35687598115033e-05
"247",130,0.55,"Tree 16",0.00120074717650141
"248",120,0.55,"Tree 16",0.00120074717650141
"249",120,2.06799999999988,"Tree 16",0.00298968426359387
"250",110,2.06799999999988,"Tree 16",0.00298968426359387
"251",110,1.56099999999994,"Tree 16",0.00152143330721166
"252",100,1.56099999999994,"Tree 16",0.00152143330721166
"253",100,3.08599999999977,"Tree 16",0.00196639450524162
"254",90,3.08599999999977,"Tree 16",0.00196639450524162
"255",90,5.02700000000001,"Tree 16",0.00207105296667741
"256",80,5.02700000000001,"Tree 16",0.00207105296667741
"257",80,6.08200000000037,"Tree 16",0.00161366072723735
"258",70,6.08200000000037,"Tree 16",0.00161366072723735
"259",70,3.06199999999977,"Tree 16",0.000514416619937832
"260",60,3.06199999999977,"Tree 16",0.000514416619937832
"261",60,3.30499999999975,"Tree 16",0.000345629795396123
"262",50,3.30499999999975,"Tree 16",0.000345629795396123
"263",50,3.07199999999977,"Tree 16",0.000202219881732748
"264",40,3.07199999999977,"Tree 16",0.000202219881732748
"265",40,2.47699999999984,"Tree 16",0.000108052279700225
"266",30,2.47699999999984,"Tree 16",0.000108052279700225
"267",30,2.97799999999978,"Tree 16",9.45398523092401e-05
"268",20,2.97799999999978,"Tree 16",9.45398523092401e-05
"269",20,3.48199999999973,"Tree 16",9.46663760888431e-05
"270",10,3.48199999999973,"Tree 16",9.46663760888431e-05
"271",10,3.43999999999973,"Tree 16",9.10734472627439e-05
"272",0,3.43999999999973,"Tree 16",9.10734472627439e-05
"273",454.654661,0,"Tree 53",0
"274",450,0,"Tree 53",0
"275",450,0,"Tree 53",0
"276",440,0,"Tree 53",0
"277",440,0.001,"Tree 53",5e-05
"278",430,0.001,"Tree 53",5e-05
"279",430,0,"Tree 53",0
"280",420,0,"Tree 53",0
"281",420,0,"Tree 53",0
"282",410,0,"Tree 53",0
"283",410,0,"Tree 53",0
"284",400,0,"Tree 53",0
"285",400,0,"Tree 53",0
"286",390,0,"Tree 53",0
"287",390,0,"Tree 53",0
"288",380,0,"Tree 53",0
"289",380,0,"Tree 53",0
"290",370,0,"Tree 53",0
"291",370,0,"Tree 53",0
"292",360,0,"Tree 53",0
"293",360,0,"Tree 53",0
"294",350,0,"Tree 53",0
"295",350,0.002,"Tree 53",6.66666666666667e-05
"296",340,0.002,"Tree 53",6.66666666666667e-05
"297",340,0.001,"Tree 53",3.33333333333333e-05
"298",330,0.001,"Tree 53",3.33333333333333e-05
"299",330,0,"Tree 53",0
"300",320,0,"Tree 53",0
"301",320,0,"Tree 53",0
"302",310,0,"Tree 53",0
"303",310,0,"Tree 53",0
"304",300,0,"Tree 53",0
"305",300,0,"Tree 53",0
"306",290,0,"Tree 53",0
"307",290,0,"Tree 53",0
"308",280,0,"Tree 53",0
"309",280,0.001,"Tree 53",1.66666666666667e-05
"310",270,0.001,"Tree 53",1.66666666666667e-05
"311",270,0.001,"Tree 53",1.66666666666667e-05
"312",260,0.001,"Tree 53",1.66666666666667e-05
"313",260,0,"Tree 53",0
"314",250,0,"Tree 53",0
"315",250,0,"Tree 53",0
"316",240,0,"Tree 53",0
"317",240,0.002,"Tree 53",2.53039494594096e-05
"318",230,0.002,"Tree 53",2.53039494594096e-05
"319",230,0.003,"Tree 53",3.70274249917864e-05
"320",220,0.003,"Tree 53",3.70274249917864e-05
"321",220,0,"Tree 53",0
"322",210,0,"Tree 53",0
"323",210,0,"Tree 53",0
"324",200,0,"Tree 53",0
"325",200,0,"Tree 53",0
"326",190,0,"Tree 53",0
"327",190,0.002,"Tree 53",1.62122672146413e-05
"328",180,0.002,"Tree 53",1.62122672146413e-05
"329",180,0.011,"Tree 53",7.47550960192172e-05
"330",170,0.011,"Tree 53",7.47550960192172e-05
"331",170,0.015,"Tree 53",8.08252277304677e-05
"332",160,0.015,"Tree 53",8.08252277304677e-05
"333",160,0.019,"Tree 53",7.25490082201197e-05
"334",150,0.019,"Tree 53",7.25490082201197e-05
"335",150,0.033,"Tree 53",0.000100825747596185
"336",140,0.033,"Tree 53",0.000100825747596185
"337",140,0.0880000000000001,"Tree 53",0.000194827427012582
"338",130,0.0880000000000001,"Tree 53",0.000194827427012582
"339",130,2.46099999999984,"Tree 53",0.00372658278635057
"340",120,2.46099999999984,"Tree 53",0.00372658278635057
"341",120,1.20099999999998,"Tree 53",0.00129587488399423
