StartTime,EndTime,ChangeNo,Kind,ChangeRate
454.654661,450,0,Tree 53,0
450,440,0,Tree 53,0
440,430,0.001,Tree 53,5.00E-05
430,420,0,Tree 53,0
420,410,0,Tree 53,0
410,400,0,Tree 53,0
400,390,0,Tree 53,0
390,380,0,Tree 53,0
380,370,0,Tree 53,0
370,360,0,Tree 53,0
360,350,0,Tree 53,0
350,340,0.002,Tree 53,6.67E-05
340,330,0.001,Tree 53,3.33E-05
330,320,0,Tree 53,0
320,310,0,Tree 53,0
310,300,0,Tree 53,0
300,290,0,Tree 53,0
290,280,0,Tree 53,0
280,270,0.001,Tree 53,1.67E-05
270,260,0.001,Tree 53,1.67E-05
260,250,0,Tree 53,0
250,240,0,Tree 53,0
240,230,0.002,Tree 53,2.53E-05
230,220,0.003,Tree 53,3.70E-05
220,210,0,Tree 53,0
210,200,0,Tree 53,0
200,190,0,Tree 53,0
190,180,0.002,Tree 53,1.62E-05
180,170,0.011,Tree 53,7.48E-05
170,160,0.015,Tree 53,8.08E-05
160,150,0.019,Tree 53,7.25E-05
150,140,0.033,Tree 53,0.000100826
140,130,0.088,Tree 53,0.000194827
130,120,2.461,Tree 53,0.003726583
120,110,1.201,Tree 53,0.001295875
110,100,2.299,Tree 53,0.001679906
100,90,3.805,Tree 53,0.00191495
90,80,4.604,Tree 53,0.00159126
80,70,4.241,Tree 53,0.000960873
70,60,3.35,Tree 53,0.000483248
60,50,2.754,Tree 53,0.000247933
50,40,3.796,Tree 53,0.000221925
40,30,2.376,Tree 53,9.50E-05
30,20,2.933,Tree 53,8.84E-05
20,10,2.828,Tree 53,7.60E-05
10,0,2.886,Tree 53,7.64E-05
