StartTime,EndTime,ChangeNo,Kind,ChangeRate
248.619304,240,0,ML,0
240,230,0,ML,0
230,220,0,ML,0
220,210,0,ML,0
210,200,0,ML,0
200,190,0.121,ML,0.000509616
190,180,0.183,ML,0.000573427
180,170,0.4,ML,0.000979968
170,160,0.925,ML,0.001810885
160,150,0.211,ML,0.000341946
150,140,0.154,ML,0.000203052
140,130,0.093,ML,0.000103592
130,120,0.211,ML,0.000198035
120,110,0.253,ML,0.000196585
110,100,0.252,ML,0.000159614
100,90,0.361,ML,0.000175809
90,80,0.51,ML,0.000182085
80,70,0.873,ML,0.000238062
70,60,0.844,ML,0.000167775
60,50,1.004,ML,0.000142516
50,40,0.894,ML,9.22E-05
40,30,1.054,ML,8.11E-05
30,20,2.312,ML,0.000132055
20,10,1.544,ML,6.45E-05
10,0,4.285,ML,0.000137391
